CurrentDate|ActivityGroup|NikeIncTeam|RetailerId|RetailerName|RetailerDivisionName|StoreNumber|LocationPK|StoreName|EnglishLanguageAddressLine1|EnglishLanguageAddressLine2|EnglishLanguageAddressLine3|EnglishLanguageAddressCity|EnglishLanguageAddressState|EnglishLanguageAddressPostalCode|EnglishLanguageAddressCountry|EnglishLanguageAddressRegion|EnglishLanguageAddressCounty|EnglishLanguageAddressArea|EnglishLanguageAddressProvince|EnglishLanguageStoreRank|EnglishLanguageStoreType|EnglishLanguageDemographic|EnglishLanguageClimate|EnglishLanguageCompStoreInd|EnglishLanguageBBG|EnglishLanguageChannel|LocalLanguageAddressLine1|LocalLanguageAddressLine2|LocalLanguageAddressLine3|LocalLanguageAddressCity|LocalLanguageAddressState|LocalLanguageAddressPostalCode|LocalLanguageAddressCountry|LocalLanguageAddressRegion|LocalLanguageAddressCounty|LocalLanguageAddressArea|LocalLanguageAddressProvince|LocalLanguageStoreRank|LocalLanguageStoreType|LocalLanguageDemographic|LocalLanguageClimate|LocalLanguageCompStoreInd|LocalLanguageInternationalStoreName|LocalLanguageBBG|LocalLanguageChannel|PhoneNumber|OpenDate|CloseDate|SquareFeet|POSId
2017-02-04|Nike|EM - KOREA|-20928|EUNGWANG|EUNGWANG|005021479|-2146097642|EUNGWANG|SONGPA-GU JAMSIL-DONG|||SEOUL||000-000||NIKESTORES_STRATEGIC|||||0||||||SONGPA-GU JAMSIL-DONG|||SEOUL||000-000||NIKESTORES_STRATEGIC|||||0||||||||Jul  3 2005 12:00AM|||
2017-02-04|Nike|EM - KOREA|-20928|EUNGWANG|EUNGWANG YUTONG|005021947|-2146097641|LOTTE WORLD SHOPPING2|SEONGNAM-SI JUNGWON-GU|||GYEONGGI-DO||000-000||NIKESTORES_KEY|||||0||||||SEONGNAM-SI JUNGWON-GU|||GYEONGGI-DO||000-000||NIKESTORES_KEY|||||0||||||||Jul  3 2005 12:00AM|Nov 21 2011 12:00AM||
2017-02-04|Nike|EM - KOREA|-20928|EUNGWANG|EUNGWANG|005021990|-2146097640|SONGPA|SEONGNAM-SI JUNGWON-GU|||GYEONGGI-DO||000-000||NIKESTORES_STRATEGIC|||||0||||||SEONGNAM-SI JUNGWON-GU|||GYEONGGI-DO||000-000||NIKESTORES_STRATEGIC|||||0||||||||Jul  3 2005 12:00AM|||
2017-02-04|Nike|EM - KOREA|-20928|EUNGWANG|EUNGWANG|005026669|-2146097639|SEOUL NATIONAL UNIVERSITY STATION|SEONGNAM-SI JUNGWON-GU|||GYEONGGI-DO||000-000||NIKESTORES_STRATEGIC|||||0||||||SEONGNAM-SI JUNGWON-GU|||GYEONGGI-DO||000-000||NIKESTORES_STRATEGIC|||||0||||||||May 28 2006 12:00AM|||
2017-02-04|Nike|EM - KOREA|-20928|EUNGWANG|EUNGWANG YUTONG|005026680|-2146097638|LOTTEMART JAMSIL|SEONGNAM-SI JUNGWON-GU|||GYEONGGI-DO||000-000||NIKESTORES_KEY|||||0||||||SEONGNAM-SI JUNGWON-GU|||GYEONGGI-DO||000-000||NIKESTORES_KEY|||||0||||||||May 28 2006 12:00AM|Nov 21 2011 12:00AM||
2017-02-04|Nike|EM - KOREA|-20928|EUNGWANG|EUNGWANG YUTONG|005027824|-2146097637|LOTTE ANYANG|SEONGNAM-SI JUNGWON-GU|||GYEONGGI-DO||000-000||NIKESTORES_KEY|||||0||||||SEONGNAM-SI JUNGWON-GU|||GYEONGGI-DO||000-000||NIKESTORES_KEY|||||0||||||||Oct 24 2006 12:00AM|Dec  9 2009 12:00AM||
2017-02-04|Nike|EM - KOREA|-20928|EUNGWANG|EUNGWANG YUTONG|005027835|-2146097636|LOTTE JAMSIL|SEONGNAM-SI JUNGWON-GU|||GYEONGGI-DO||000-000||NIKESTORES_KEY|||||0||||||SEONGNAM-SI JUNGWON-GU|||GYEONGGI-DO||000-000||NIKESTORES_KEY|||||0||||||||Oct 24 2006 12:00AM|Dec  9 2009 12:00AM||
2017-02-04|Nike|EM - KOREA|-20928|EUNGWANG|EUNGWANG YUTONG|005027861|-2146097635|LOTTE WORLD SHOPPINGMALL|SEONGNAM-SI JUNGWON-GU|||GYEONGGI-DO||000-000||NIKESTORES_KEY|||||0||||||SEONGNAM-SI JUNGWON-GU|||GYEONGGI-DO||000-000||NIKESTORES_KEY|||||0||||||||Oct 26 2006 12:00AM|Feb  7 2012 12:00AM||
2017-02-04|Nike|EM - KOREA|-20928|EUNGWANG|EUNGWANG YUTONG|005027862|-2146097634|LOTTE BUNDANG|SEONGNAM-SI JUNGWON-GU|||GYEONGGI-DO||000-000||NIKESTORES_KEY|||||0||||||SEONGNAM-SI JUNGWON-GU|||GYEONGGI-DO||000-000||NIKESTORES_KEY|||||0||||||||Oct 26 2006 12:00AM|Dec  9 2009 12:00AM||
2017-02-04|Nike|EM - KOREA|-20928|EUNGWANG|EUNGWANG YUTONG|005027863|-2146097633|LOTTE GWANAK|SEONGNAM-SI JUNGWON-GU|||GYEONGGI-DO||000-000||NIKESTORES_KEY|||||0||||||SEONGNAM-SI JUNGWON-GU|||GYEONGGI-DO||000-000||NIKESTORES_KEY|||||0||||||||Oct 26 2006 12:00AM|Dec  9 2009 12:00AM||
